user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
871,871,SayanBa89584171,"Balurghat, India",1333,286,2022-11-08 06:11:18+00:00,843,0,dev deepawali arrangement made kashi government uttar pradesh,"[{'text': 'DevDeepawali2022', 'indices': [78, 95]}, {'text': 'Varanasi', 'indices': [96, 105]}, {'text': 'hinduecosystem', 'indices': [106, 121]}]","[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [122, 131]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [132, 148]}]"
872,872,kunaljoshi101,"मुंबई, भारत",14,3,2022-11-08 06:10:49+00:00,57,0,facing lot problem borivali without local train,[],"[{'screen_name': 'Amarbjym', 'name': 'Amar Shah', 'id': 871867794870108164, 'id_str': '871867794870108164', 'indices': [0, 9]}, {'screen_name': 'iGopalShetty', 'name': 'Gopal Shetty', 'id': 2377965971, 'id_str': '2377965971', 'indices': [10, 23]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [24, 37]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [38, 54]}, {'screen_name': 'raosahebdanve', 'name': 'Raosaheb Patil Danve', 'id': 2609425938, 'id_str': '2609425938', 'indices': [55, 69]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [70, 83]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [84, 93]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [94, 102]}, {'screen_name': 'Tejasvi_Surya', 'name': 'Tejasvi Surya', 'id': 390677061, 'id_str': '390677061', 'indices': [103, 117]}, {'screen_name': 'BhatkhalkarA', 'name': 'Atul Bhatkhalkar', 'id': 726417797048373248, 'id_str': '726417797048373248', 'indices': [118, 131]}, {'screen_name': 'mipravindarekar', 'name': 'Pravin Darekar - प्रविण दरेकर', 'id': 1200413787053903873, 'id_str': '1200413787053903873', 'indices': [132, 148]}, {'screen_name': 'Dev_Fadnavis', 'name': 'Devendra Fadnavis', 'id': 137780376, 'id_str': '137780376', 'indices': [149, 162]}, {'screen_name': 'Yogeshsagar09', 'name': 'Yogesh Sagar', 'id': 951194041, 'id_str': '951194041', 'indices': [163, 177]}, {'screen_name': 'manishaBJP', 'name': 'Manisha Chaudhary', 'id': 774517790715748353, 'id_str': '774517790715748353', 'indices': [178, 189]}, {'screen_name': 'MPLodha', 'name': 'Mangal Prabhat Lodha', 'id': 1479387656, 'id_str': '1479387656', 'indices': [190, 198]}]"
873,873,RAJENDR46373220,,84,20,2022-11-08 06:08:57+00:00,267,0,many many happy return day stay happy healthy,[],"[{'screen_name': 'Annapurna4BJP', 'name': 'Annapurna Devi', 'id': 928478558111940608, 'id_str': '928478558111940608', 'indices': [0, 14]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [15, 28]}]"
875,875,kappa1929,"Hyderguda, Hyderabad",130,28,2022-11-08 06:03:22+00:00,119,0,petrol station guy saying price compared hyd due transportation fare,[],"[{'screen_name': 'vishumula', 'name': 'VISHWANATH MULA', 'id': 1512047178495434759, 'id_str': '1512047178495434759', 'indices': [0, 10]}, {'screen_name': 'KTRTRS', 'name': 'KTR', 'id': 118787224, 'id_str': '118787224', 'indices': [11, 18]}, {'screen_name': 'IndianOilcl', 'name': 'Indian Oil Corp Ltd', 'id': 2597794454, 'id_str': '2597794454', 'indices': [109, 121]}, {'screen_name': 'IndianOil_Highw', 'name': 'IndianOil_Highway', 'id': 994452529298706432, 'id_str': '994452529298706432', 'indices': [122, 138]}, {'screen_name': 'DirHR_iocl', 'name': 'Director (HR), IndianOil', 'id': 1080033842642239488, 'id_str': '1080033842642239488', 'indices': [139, 150]}, {'screen_name': 'PetroleumMin', 'name': 'Ministry of Petroleum and Natural Gas', 'id': 2583583465, 'id_str': '2583583465', 'indices': [151, 164]}, {'screen_name': 'KTRTRS', 'name': 'KTR', 'id': 118787224, 'id_str': '118787224', 'indices': [165, 172]}, {'screen_name': 'TelanganaCMO', 'name': 'Telangana CMO', 'id': 2558684335, 'id_str': '2558684335', 'indices': [173, 186]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [187, 200]}, {'screen_name': 'MinisterKTR', 'name': 'Minister for IT, Industries, MA & UD, Telangana', 'id': 2550018541, 'id_str': '2550018541', 'indices': [201, 213]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [214, 224]}, {'screen_name': 'BJP4Telangana', 'name': 'BJP Telangana', 'id': 758217523506667520, 'id_str': '758217523506667520', 'indices': [225, 239]}, {'screen_name': 'BJPITCellTS', 'name': 'BJP IT Cell Telangana', 'id': 1265200268284588034, 'id_str': '1265200268284588034', 'indices': [240, 252]}]"
876,876,anilkumar15974,"Haryana, India",24,13,2022-11-08 05:59:52+00:00,2686,0,upper caste family remain poor hindustani government give support increase class sts obcs living always lowest class society modiji forget happy modiji,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}]"
879,879,CyclistUma,"Gorakhpur, India",34,136,2022-11-08 05:55:46+00:00,89,0,first time climbed mount fraindship cycle november,[],"[{'screen_name': 'sdmsadartehsil', 'name': 'SDM Sadar Gorakhpur', 'id': 1233337490552963072, 'id_str': '1233337490552963072', 'indices': [73, 88]}, {'screen_name': 'ravikishann', 'name': 'Ravi Kishan', 'id': 114707587, 'id_str': '114707587', 'indices': [89, 101]}, {'screen_name': 'myogiadityanath', 'name': 'Yogi Adityanath', 'id': 3437532637, 'id_str': '3437532637', 'indices': [102, 118]}, {'screen_name': 'myogioffice', 'name': 'Yogi Adityanath Office', 'id': 1084769827271598080, 'id_str': '1084769827271598080', 'indices': [119, 131]}, {'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': 381949397, 'id_str': '381949397', 'indices': [132, 146]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [147, 156]}, {'screen_name': 'AgrawalRMD', 'name': 'Dr.Radha mohan das agrawal', 'id': 1078766551, 'id_str': '1078766551', 'indices': [157, 168]}, {'screen_name': 'DrDharmendraBJP', 'name': 'Dr.Dharmendra Singh', 'id': 774475887555248128, 'id_str': '774475887555248128', 'indices': [169, 185]}]"
880,880,drthinkit,"Patna, India",170,9,2022-11-08 05:54:18+00:00,1058,0,financial literacy key living daily life dignity also gift give order dignified citizen world,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [196, 209]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [210, 219]}, {'screen_name': 'dpradhanbjp', 'name': 'Dharmendra Pradhan', 'id': 1897514666, 'id_str': '1897514666', 'indices': [220, 232]}, {'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [233, 249]}, {'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [250, 254]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [255, 267]}]"
882,882,jitende05,Delhi,560,202,2022-11-08 05:50:33+00:00,5350,0,case study bad civil engineer landed bridge jalebi kind road,[],"[{'screen_name': 'FaridabadTv', 'name': 'Faridabad_Darshan_News', 'id': 1503323774002753536, 'id_str': '1503323774002753536', 'indices': [0, 12]}, {'screen_name': 'UPGovt', 'name': 'Government of UP', 'id': 2588841246, 'id_str': '2588841246', 'indices': [13, 20]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [21, 36]}, {'screen_name': 'cmohry', 'name': 'CMO Haryana', 'id': 2919390704, 'id_str': '2919390704', 'indices': [37, 44]}, {'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [45, 59]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [60, 69]}]"
885,885,kirandamle01,,2161,1997,2022-11-08 05:45:27+00:00,31022,0,option pay tax distributed profit company available epayment facility login eportal please reply urgently,[],"[{'screen_name': 'IncomeTaxIndia', 'name': 'Income Tax India', 'id': 4131677414, 'id_str': '4131677414', 'indices': [0, 15]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [162, 171]}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': 58243368, 'id_str': '58243368', 'indices': [172, 184]}, {'screen_name': 'nsitharamanoffc', 'name': 'NSitharamanOffice', 'id': 912211757363367936, 'id_str': '912211757363367936', 'indices': [185, 201]}, {'screen_name': 'FinMinIndia', 'name': 'Ministry of Finance', 'id': 2613904818, 'id_str': '2613904818', 'indices': [202, 214]}]"
886,886,PranavA56968314,j-47 L.G.F LajpatNagar3,5004,805,2022-11-08 05:44:37+00:00,67152,1,want duplicate role madrasis amit mohit tarachand harpreet ghura jailed virender singh kunal interfares transfer took,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'Lawleshjsr', 'name': 'Lawlesh Kumar Singh', 'id': 778460415189618688, 'id_str': '778460415189618688', 'indices': [14, 25]}]"
