user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
100673521,1.5853E+18,sai1951,,396,81,2022-10-26 16:04:20+00:00,8226,0,"@DHFWKA @PMOIndia @MoHFW_INDIA @CMofKarnataka @BSBommai @mla_sudhakar @Comm_dhfwka @MDNHM_Kar @BBMPCOMM @mangalurucorp @DDChandanaNews @PIBBengaluru @KarnatakaVarthe Covid numbers in Karnataka:
▪️New cases in State: 96
▪️New cases in B'lore: 57
▪️Positivity rate: 2.19%
▪️Discharges: 271 (B'lore-209)
▪️Deaths: 0
▪️Active cases in State: 1,953
▪️Active cases in B'lore: 1,687
▪️Tests: 4,367

#Covid_19 #COVID19","[{'text': 'Covid_19', 'indices': [392, 401]}, {'text': 'COVID19', 'indices': [402, 410]}]","[{'screen_name': 'DHFWKA', 'name': ""K'taka Health Dept"", 'id': 826734320018661378, 'id_str': '826734320018661378', 'indices': [0, 7]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [8, 17]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [18, 30]}, {'screen_name': 'CMofKarnataka', 'name': 'CM of Karnataka', 'id': 2713703797, 'id_str': '2713703797', 'indices': [31, 45]}, {'screen_name': 'BSBommai', 'name': 'Basavaraj S Bommai', 'id': 2955117367, 'id_str': '2955117367', 'indices': [46, 55]}, {'screen_name': 'mla_sudhakar', 'name': 'Dr Sudhakar K', 'id': 742801860914864128, 'id_str': '742801860914864128', 'indices': [56, 69]}, {'screen_name': 'Comm_dhfwka', 'name': 'Commissioner, Health, GoK', 'id': 1162972473005993984, 'id_str': '1162972473005993984', 'indices': [70, 82]}, {'screen_name': 'MDNHM_Kar', 'name': 'Dr Arundhathi Chandrasekhar IAS', 'id': 1354366362773147651, 'id_str': '1354366362773147651', 'indices': [83, 93]}, {'screen_name': 'BBMPCOMM', 'name': 'Tushar Giri Nath IAS', 'id': 4345658112, 'id_str': '4345658112', 'indices': [94, 103]}, {'screen_name': 'mangalurucorp', 'name': 'ಮಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ | Mangaluru City Corporation', 'id': 1301516056138219521, 'id_str': '1301516056138219521', 'indices': [104, 118]}, {'screen_name': 'DDChandanaNews', 'name': 'DD Chandana News', 'id': 3014172800, 'id_str': '3014172800', 'indices': [119, 134]}, {'screen_name': 'PIBBengaluru', 'name': 'PIB in Karnataka', 'id': 1159597478, 'id_str': '1159597478', 'indices': [135, 148]}, {'screen_name': 'KarnatakaVarthe', 'name': 'DIPR Karnataka', 'id': 2556450324, 'id_str': '2556450324', 'indices': [149, 165]}]"
101430927,1.58526E+18,shivaramsingh,Cuttack,777,1242,2022-10-26 13:00:46+00:00,5578,0,@nipun29j @drsuniltaneja @doc_arka @docMPK @sahajrathi @RohitMehtaniDM @DrArunKValsan @AnandVKulkarni2 @DrMithunSharma @MoHFW_INDIA @ICMRDELHI @EASLnews @RoyAHep @AsraniSumeet @ashok_doctor @APASL_AARC @a_c_anand @JCEH_Hepatology @HEP_Journal Great! Well done Team PGI,[],"[{'screen_name': 'nipun29j', 'name': 'nipun verma', 'id': 228812262, 'id_str': '228812262', 'indices': [0, 9]}, {'screen_name': 'drsuniltaneja', 'name': 'Sunil Taneja', 'id': 2726820943, 'id_str': '2726820943', 'indices': [10, 24]}, {'screen_name': 'doc_arka', 'name': 'Arka De', 'id': 484529064, 'id_str': '484529064', 'indices': [25, 34]}, {'screen_name': 'docMPK', 'name': 'M PREMKUMAR', 'id': 1393561128442077184, 'id_str': '1393561128442077184', 'indices': [35, 42]}, {'screen_name': 'sahajrathi', 'name': 'Sahaj Rathi', 'id': 73373696, 'id_str': '73373696', 'indices': [43, 54]}, {'screen_name': 'RohitMehtaniDM', 'name': 'Rohit Mehtani', 'id': 1016328342, 'id_str': '1016328342', 'indices': [55, 70]}, {'screen_name': 'DrArunKValsan', 'name': 'Maj (Dr) Arun Valsan MD DM DNB MNAMS', 'id': 1285762614891552769, 'id_str': '1285762614891552769', 'indices': [71, 85]}, {'screen_name': 'AnandVKulkarni2', 'name': 'Anand V Kulkarni', 'id': 725476555686731777, 'id_str': '725476555686731777', 'indices': [86, 102]}, {'screen_name': 'DrMithunSharma', 'name': 'Dr Mithun Sharma MD FACG AGAF', 'id': 315966903, 'id_str': '315966903', 'indices': [103, 118]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [119, 131]}, {'screen_name': 'ICMRDELHI', 'name': 'ICMR', 'id': 2695241174, 'id_str': '2695241174', 'indices': [132, 142]}, {'screen_name': 'EASLnews', 'name': 'EASLnews', 'id': 317662616, 'id_str': '317662616', 'indices': [143, 152]}, {'screen_name': 'RoyAHep', 'name': 'LiverPhile', 'id': 1245426454441017346, 'id_str': '1245426454441017346', 'indices': [153, 161]}, {'screen_name': 'AsraniSumeet', 'name': 'Sumeet Asrani', 'id': 1218416025244446722, 'id_str': '1218416025244446722', 'indices': [162, 175]}, {'screen_name': 'ashok_doctor', 'name': 'Ashok Choudhury', 'id': 2539515781, 'id_str': '2539515781', 'indices': [176, 189]}, {'screen_name': 'APASL_AARC', 'name': 'AARC_APASL', 'id': 1340244985975775234, 'id_str': '1340244985975775234', 'indices': [190, 201]}, {'screen_name': 'a_c_anand', 'name': 'Anil', 'id': 1052558598432149504, 'id_str': '1052558598432149504', 'indices': [202, 212]}, {'screen_name': 'JCEH_Hepatology', 'name': 'Journal of Clinical and Experimental Hepatology', 'id': 1393510735397851136, 'id_str': '1393510735397851136', 'indices': [213, 229]}, {'screen_name': 'HEP_Journal', 'name': 'HEPATOLOGY Journal', 'id': 2842105547, 'id_str': '2842105547', 'indices': [230, 242]}]"
1550427109,1.58525E+18,rhltiwari711,"Lucknow, India",2573,520,2022-10-26 12:49:43+00:00,4641,0,"Dear @TwitterIndia, kindly provide @verified to Prof @DrVNMishraa Founder #VC @ghatwalk &amp; Head #Neurology @directorimsbhu. 
He is deeply involved for the welfare of poor and needy people of rural areas.
 @Twitter @bhupro @VCofficeBHU @MoHFW_INDIA @registrarbhu https://t.co/TM0Vpk2cga","[{'text': 'VC', 'indices': [74, 77]}, {'text': 'Neurology', 'indices': [99, 109]}]","[{'screen_name': 'TwitterIndia', 'name': 'Twitter India', 'id': 103770785, 'id_str': '103770785', 'indices': [5, 18]}, {'screen_name': 'verified', 'name': 'Twitter Verified', 'id': 63796828, 'id_str': '63796828', 'indices': [35, 44]}, {'screen_name': 'DrVNMishraa', 'name': 'Vijaya Nath Mishra O+', 'id': 353238695, 'id_str': '353238695', 'indices': [53, 65]}, {'screen_name': 'ghatwalk', 'name': 'Ghatwalk', 'id': 1096484285543079942, 'id_str': '1096484285543079942', 'indices': [78, 87]}, {'screen_name': 'directorimsbhu', 'name': 'Directorimsbhu', 'id': 783297551973756928, 'id_str': '783297551973756928', 'indices': [110, 125]}, {'screen_name': 'Twitter', 'name': 'Twitter', 'id': 783214, 'id_str': '783214', 'indices': [208, 216]}, {'screen_name': 'bhupro', 'name': 'BHU Official', 'id': 1155744616202637312, 'id_str': '1155744616202637312', 'indices': [217, 224]}, {'screen_name': 'VCofficeBHU', 'name': 'VC-BHU', 'id': 767604900146520064, 'id_str': '767604900146520064', 'indices': [225, 237]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [238, 250]}, {'screen_name': 'registrarbhu', 'name': 'REGISTRAR, BHU', 'id': 850245690626158593, 'id_str': '850245690626158593', 'indices': [251, 264]}]"
190904456,1.58523E+18,amishradp,"दिल्ली, भारत",51,9,2022-10-26 11:26:36+00:00,243,0,@care_mediassist @royalsundaram @naveen_shahi18 @PMOIndia @RubikaLiyaquat @ZeeNews @indiatvnews @ArvindKejriwal @BJP4India @INCIndia @MediAssistIndia @policybazaar @MoHFW_INDIA Listening these words from 20th october no one is willing to revert,[],"[{'screen_name': 'care_mediassist', 'name': 'Support@MediAssist', 'id': 1087613468339929088, 'id_str': '1087613468339929088', 'indices': [0, 16]}, {'screen_name': 'royalsundaram', 'name': 'Royal Sundaram', 'id': 37872737, 'id_str': '37872737', 'indices': [17, 31]}, {'screen_name': 'naveen_shahi18', 'name': 'Naveen Shahi🇮🇳', 'id': 140759997, 'id_str': '140759997', 'indices': [32, 47]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [48, 57]}, {'screen_name': 'RubikaLiyaquat', 'name': 'Rubika Liyaquat', 'id': 1062742964, 'id_str': '1062742964', 'indices': [58, 73]}, {'screen_name': 'ZeeNews', 'name': 'Zee News', 'id': 461841349, 'id_str': '461841349', 'indices': [74, 82]}, {'screen_name': 'indiatvnews', 'name': 'India TV', 'id': 34245009, 'id_str': '34245009', 'indices': [83, 95]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [96, 111]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [112, 122]}, {'screen_name': 'INCIndia', 'name': 'Congress', 'id': 1153045459, 'id_str': '1153045459', 'indices': [123, 132]}, {'screen_name': 'MediAssistIndia', 'name': 'Medi Assist', 'id': 3245801414, 'id_str': '3245801414', 'indices': [133, 149]}, {'screen_name': 'policybazaar', 'name': 'Policybazaar', 'id': 180740221, 'id_str': '180740221', 'indices': [150, 163]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [164, 176]}]"
350945055,1.58523E+18,chouhanneeraj07,"Mumbai, India",879,488,2022-10-26 11:23:47+00:00,3450,0,"@drchetandeshmu1 @aparanjape @JM_Scindia @mansukhmandviya Totally wastage of time and efforts, most of the air Suvidha counters on arrival are empty @MoHFW_INDIA @MoHFW_GUJARAT",[],"[{'screen_name': 'drchetandeshmu1', 'name': 'drchetandeshmukh', 'id': 1385972690981253120, 'id_str': '1385972690981253120', 'indices': [0, 16]}, {'screen_name': 'aparanjape', 'name': 'Amit Paranjape', 'id': 14175873, 'id_str': '14175873', 'indices': [17, 28]}, {'screen_name': 'JM_Scindia', 'name': 'Jyotiraditya M. Scindia', 'id': 2892809359, 'id_str': '2892809359', 'indices': [29, 40]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [41, 57]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [149, 161]}, {'screen_name': 'MoHFW_GUJARAT', 'name': 'Ministry of Health', 'id': 776667053604212736, 'id_str': '776667053604212736', 'indices': [162, 176]}]"
2647504083,1.58522E+18,saragadakarun,India,591,85,2022-10-26 10:26:46+00:00,306,0,@AiimsBibinagar @MoHFW_INDIA @mansukhmandviya Great job sir🙏,[],"[{'screen_name': 'AiimsBibinagar', 'name': 'AIIMS Bibinagar', 'id': 1261156421611040768, 'id_str': '1261156421611040768', 'indices': [0, 15]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [16, 28]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [29, 45]}]"
4430349786,1.58522E+18,kamuk88,"Mumbai, India",5002,574,2022-10-26 10:22:43+00:00,8244,5,@Vasuragh @AnandhUrmila @WomenNeph_india @Sandyrvsdav @divyaa24 @krithicism @Sunilmed @silvishah @myadla @drmanishasahay @priti899 @gag_aggarwal @ISNkidneycare @kidney_warriors @TheKidneyWarri1 @NACOINDIA @gnpplus @NCPIPLUS @mansukhmandviya @HepCActionA @jjhospital @KEMHOSPITAL @vvvdosti @SayaliBThakare @SrBachchan @rtiindia @thertiactivist @PMOIndia @MoHFW_INDIA @moayush @CCDTrust @SNEHAmumbai @CMumbaicity @MumbaiAids @MSACS3 PATIENT WITH #CKD &amp; #retroviraldieases #RVD FACING SHORTAGE OF #ANTIRETROVIRAL #medicines #stockout #lamivudine  India’s HIV patients say shortages leaving hundreds of thousands without drugs https://t.co/x8zfkPxeKk courtesy @dnpplus @jsa_india @kidney_warriors @TheKidneyWarri1,"[{'text': 'CKD', 'indices': [444, 448]}, {'text': 'retroviraldieases', 'indices': [455, 473]}, {'text': 'RVD', 'indices': [474, 478]}, {'text': 'ANTIRETROVIRAL', 'indices': [498, 513]}, {'text': 'medicines', 'indices': [514, 524]}, {'text': 'stockout', 'indices': [525, 534]}, {'text': 'lamivudine', 'indices': [535, 546]}]","[{'screen_name': 'Vasuragh', 'name': 'Vasundhara Raghavan', 'id': 308377202, 'id_str': '308377202', 'indices': [0, 9]}, {'screen_name': 'AnandhUrmila', 'name': 'Urmila Anandh', 'id': 914421804940222465, 'id_str': '914421804940222465', 'indices': [10, 23]}, {'screen_name': 'WomenNeph_india', 'name': 'Women in Nephrology-India', 'id': 1424395506252279809, 'id_str': '1424395506252279809', 'indices': [24, 40]}, {'screen_name': 'Sandyrvsdav', 'name': 'Sandhya Suresh', 'id': 709486878, 'id_str': '709486878', 'indices': [41, 53]}, {'screen_name': 'divyaa24', 'name': 'Dr. Divya Bajpai 🇮🇳', 'id': 2933234910, 'id_str': '2933234910', 'indices': [54, 63]}, {'screen_name': 'krithicism', 'name': 'Krithika Mohan', 'id': 147854086, 'id_str': '147854086', 'indices': [64, 75]}, {'screen_name': 'Sunilmed', 'name': 'Sunil Shroff', 'id': 20381389, 'id_str': '20381389', 'indices': [76, 85]}, {'screen_name': 'silvishah', 'name': 'Silvi Shah, MD, MS, FASN, FAST, FNKF', 'id': 112498554, 'id_str': '112498554', 'indices': [86, 96]}, {'screen_name': 'myadla', 'name': 'manjusha yadla', 'id': 60939828, 'id_str': '60939828', 'indices': [97, 104]}, {'screen_name': 'drmanishasahay', 'name': 'Dr Prof Manisha Sahay', 'id': 3013517412, 'id_str': '3013517412', 'indices': [105, 120]}, {'screen_name': 'priti899', 'name': 'Dr Priti MD,FASN🇮🇳 (प्रिति)', 'id': 839038646279778305, 'id_str': '839038646279778305', 'indices': [121, 130]}, {'screen_name': 'gag_aggarwal', 'name': 'Garima Aggarwal', 'id': 3118417408, 'id_str': '3118417408', 'indices': [131, 144]}, {'screen_name': 'ISNkidneycare', 'name': 'International Society of Nephrology (ISN)', 'id': 1425158124, 'id_str': '1425158124', 'indices': [145, 159]}, {'screen_name': 'kidney_warriors', 'name': 'Kidney warriors', 'id': 1043881058326863873, 'id_str': '1043881058326863873', 'indices': [160, 176]}, {'screen_name': 'TheKidneyWarri1', 'name': 'The Kidney Warriors', 'id': 1272856652857761793, 'id_str': '1272856652857761793', 'indices': [177, 193]}, {'screen_name': 'NACOINDIA', 'name': 'National AIDS Control Organisation', 'id': 1035019353190621185, 'id_str': '1035019353190621185', 'indices': [194, 204]}, {'screen_name': 'gnpplus', 'name': 'GNP+', 'id': 168116826, 'id_str': '168116826', 'indices': [205, 213]}, {'screen_name': 'NCPIPLUS', 'name': 'NCPI Plus', 'id': 844460147879657472, 'id_str': '844460147879657472', 'indices': [214, 223]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [224, 240]}, {'screen_name': 'HepCActionA', 'name': 'Hep C Action', 'id': 1008075419755667456, 'id_str': '1008075419755667456', 'indices': [241, 253]}, {'screen_name': 'jjhospital', 'name': 'Chanchalmalbhandari', 'id': 1679708065, 'id_str': '1679708065', 'indices': [254, 265]}, {'screen_name': 'KEMHOSPITAL', 'name': 'KEM HOSPITAL', 'id': 382292482, 'id_str': '382292482', 'indices': [266, 278]}, {'screen_name': 'vvvdosti', 'name': 'Varsha Vidya Vilas -Dy Head Mumbai Citizens Forum', 'id': 3096248292, 'id_str': '3096248292', 'indices': [279, 288]}, {'screen_name': 'SayaliBThakare', 'name': 'Sayali Thakare', 'id': 1054750962881982465, 'id_str': '1054750962881982465', 'indices': [289, 304]}, {'screen_name': 'SrBachchan', 'name': 'Amitabh Bachchan', 'id': 145125358, 'id_str': '145125358', 'indices': [305, 316]}, {'screen_name': 'rtiindia', 'name': 'RTI INDIA', 'id': 15622291, 'id_str': '15622291', 'indices': [317, 326]}, {'screen_name': 'thertiactivist', 'name': 'rtiactivist', 'id': 238111673, 'id_str': '238111673', 'indices': [327, 342]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [343, 352]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [353, 365]}, {'screen_name': 'moayush', 'name': 'Ministry of Ayush', 'id': 2650295678, 'id_str': '2650295678', 'indices': [366, 374]}, {'screen_name': 'CCDTrust', 'name': 'Committed Communities Development Trust (CCDT)', 'id': 708528644, 'id_str': '708528644', 'indices': [375, 384]}, {'screen_name': 'SNEHAmumbai', 'name': 'SNEHA MUMBAI', 'id': 150999176, 'id_str': '150999176', 'indices': [385, 397]}, {'screen_name': 'CMumbaicity', 'name': 'Collector Office, Mumbai City', 'id': 1293846176630845442, 'id_str': '1293846176630845442', 'indices': [398, 410]}, {'screen_name': 'MumbaiAids', 'name': 'Mumbai Districts AIDS Control Society (MDACS)', 'id': 1064856762564714496, 'id_str': '1064856762564714496', 'indices': [411, 422]}, {'screen_name': 'MSACS3', 'name': 'MSACS', 'id': 1027489443257638912, 'id_str': '1027489443257638912', 'indices': [423, 430]}, {'screen_name': 'dnpplus', 'name': 'dnpplus', 'id': 2189685409, 'id_str': '2189685409', 'indices': [660, 668]}, {'screen_name': 'jsa_india', 'name': 'Jan Swasthya Abhiyan', 'id': 910466582006046725, 'id_str': '910466582006046725', 'indices': [669, 679]}, {'screen_name': 'kidney_warriors', 'name': 'Kidney warriors', 'id': 1043881058326863873, 'id_str': '1043881058326863873', 'indices': [680, 696]}, {'screen_name': 'TheKidneyWarri1', 'name': 'The Kidney Warriors', 'id': 1272856652857761793, 'id_str': '1272856652857761793', 'indices': [697, 713]}]"
1.35404E+18,1.58521E+18,choudhary24raj,"Dewas, India",23,3,2022-10-26 09:51:29+00:00,3,0,@CareDominos @dominos @dominos_india @MoHFW_INDIA Thanks for the prompt response!  I filled up the feedback form and am looking for a better environment the next time I'll be there.,[],"[{'screen_name': 'CareDominos', 'name': 'Dominos_Care', 'id': 1164526922136637441, 'id_str': '1164526922136637441', 'indices': [0, 12]}, {'screen_name': 'dominos', 'name': ""Domino's Pizza"", 'id': 31444922, 'id_str': '31444922', 'indices': [13, 21]}, {'screen_name': 'dominos_india', 'name': 'dominos_india', 'id': 98560085, 'id_str': '98560085', 'indices': [22, 36]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [37, 49]}]"
1.24095E+18,1.58521E+18,aiims_jodhpur,"AIIMS Jodhpur, India",170,8497,2022-10-26 09:49:49+00:00,1011,4,Implementation Research for people with multiple long term diseases’ needs capacity building among younger healthcare professionals. #AIIMSJodhpur is all set to be a major site of grant from @NIHRglobal along with @uniofleicester. @narendramodi @mansukhmandviya @MoHFW_INDIA @WHO https://t.co/kPduUUP4OO,"[{'text': 'AIIMSJodhpur', 'indices': [133, 146]}]","[{'screen_name': 'NIHRglobal', 'name': 'NIHR Global Health', 'id': 1293926156903878657, 'id_str': '1293926156903878657', 'indices': [191, 202]}, {'screen_name': 'uniofleicester', 'name': 'University of Leicester', 'id': 81089247, 'id_str': '81089247', 'indices': [214, 229]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [231, 244]}, {'screen_name': 'mansukhmandviya', 'name': 'Dr Mansukh Mandaviya', 'id': 432697203, 'id_str': '432697203', 'indices': [245, 261]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [262, 274]}, {'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [275, 279]}]"
190904456,1.5852E+18,amishradp,"दिल्ली, भारत",51,9,2022-10-26 09:39:03+00:00,243,0,@policybazaar @MoHFW_INDIA @royalsundaram @MediAssistIndia what time you will take he is waiting in hospital since 20th of october 2022 i feel that when your mother will get admit he will not get back to home,[],"[{'screen_name': 'policybazaar', 'name': 'Policybazaar', 'id': 180740221, 'id_str': '180740221', 'indices': [0, 13]}, {'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [14, 26]}, {'screen_name': 'royalsundaram', 'name': 'Royal Sundaram', 'id': 37872737, 'id_str': '37872737', 'indices': [27, 41]}, {'screen_name': 'MediAssistIndia', 'name': 'Medi Assist', 'id': 3245801414, 'id_str': '3245801414', 'indices': [42, 58]}]"
